Title,Company Name,Promotion Text,Location,Experience Required
Internal Audit Supervisor - SQA (Quality & Process Improvement),1000FIX Services Ltd.,N/A,Dhaka,At least 3 year(s)
Laravel Developer,Beauty Booth Bangladesh,N/A,Dhaka,3 to 5 year(s)
Video Editor,WebCode Technology,N/A,Dhaka,At least 3 year(s)
Executive/Jr. Executive - Video Editor (ICT Department),multibrand WORKSHOP ltd.,N/A,Tejgaon Industrial Area,2 to 3 year(s)
Computer Instructor,A Reputed Accademy,N/A,Fenchuganj,3 to 5 year(s)
IT Executive,Brand Maker Property Developments  Ltd.,1.Oversee Tech Departments.2. IT execs monitor the activities and production of tech departments.3.Strategize Tech Improvements.4.Manage the IT Budget.5.Learn Company and Industry Trends.6. Develop Talent.,GULSHAN 2,2 to 3 year(s)
SQA Engineer (Automation),ReliSource Technologies Ltd.,N/A,GULSHAN 1,3 to 4 year(s)
Senior SQA Engineer,ReliSource Technologies Ltd.,N/A,GULSHAN 1,At least 5 year(s)
Senior Software Engineer,ReliSource Technologies Ltd.,N/A,GULSHAN 1,At least 5 year(s)
SQA Engineer,ReliSource Technologies Ltd.,N/A,GULSHAN 1,3 to 4 year(s)
Software Engineer (PHP),ReliSource Technologies Ltd.,N/A,GULSHAN 1,At least 4 year(s)
Data Engineer,ReliSource Technologies Ltd.,N/A,Anywhere in Bangladesh,2 to 4 year(s)
Jr. Executive/ Executive - ICT & MIS,Barnali Textile & Printing Industries (Pvt.) Ltd.,N/A,Narayanganj,At least 2 year(s)
Jr. Executive/ Executive - ICT & MIS,Pack & Trim Collections,N/A,Ashulia,At least 2 year(s)
"Manager, IT (Factory)",A Leading Group of Companies (Mobile Division),N/A,Gazipur,5 to 8 year(s)
Management Trainee Officer (MTO) - IT,Mercantile Bank PLC.,N/A,Anywhere in Bangladesh,Na
Lead System Engineer,Renowned Real Estate Company,N/A,Gulshan,At least 4 year(s)
Web Developer,Green Fuel Technologies Limited,N/A,Dhaka,3 to 5 year(s)
ERP Software Salesperson,A reputed IT company in Uttara Dhaka,It`s a sales target oriented job. The candidate must have mindset to achieve the sales target.Ability to visit outside Dhaka frequently.,Anywhere in Bangladesh,At most 3 year(s)
Operation In-Charge (Monitoring & Reporting)/ Data Analyst,SP IT SOLUTION,N/A,Aftabnagar,2 to 4 year(s)
Intern Developer,Itransition Software Bangladesh Ltd,N/A,Anywhere in Bangladesh,Na
"Executive Officer (Sales & Marketing, It Administration)",SP IT SOLUTION,N/A,Aftabnagar,2 to 5 year(s)
Senior Odoo Developer,BJIT Ltd.,N/A,Dhaka,3 to 5 year(s)
UI/UX Designer,bdCalling IT Ltd,N/A,Banasree,At least 1 year(s)
Digital Marketing Expert,Biddabari,N/A,Nilkhet,1 to 3 year(s)
Network Engineer,Apex Data Management & IT Ltd,Office Shift 2 PM to 11 PM,Banani,6 to 9 year(s)
