Title,Company Name,Promotion Text,Location,Experience Required
ASP.NET Software Developer,Q.I.A Management Consultants Ltd.,N/A,Dhaka,At least 3 year(s)
Senior Firmware Developer,AriSaf Tech Ltd.,N/A,DOHS Mirpur,At least 3 year(s)
Chief Data Analytics Officer,Ghorer Bazar,N/A,Anywhere in Bangladesh,10 to 15 year(s)
Mobile App Developer (React Native),PolyFins Technology Inc,N/A,Anywhere in Bangladesh,4 to 8 year(s)
WordPress Developer,Barakah Venture LTD,N/A,Shewrapara,1 to 3 year(s)
Software Developer: React Developer,ORENDT STUDIOS,N/A,Baridhara,At least 2 year(s)
Lead - Technical Product Management,Bondstein Technologies Ltd.,N/A,Tejgaon,3 to 6 year(s)
Full Stack Developer,Grit Technologies Limited,N/A,Dhaka,At least 4 year(s)
Junior Engineer,Gamma Innovation Limited,N/A,Anywhere in Bangladesh,At most 1 year(s)
Sr. Back End Developer,Bettex (HK) Limited,N/A,Dhaka,At least 3 year(s)
PHP Laravel Developer,Smart Software Limited,N/A,Dhaka,Na
Software Engineer,Bio-Xin Cosmeceuticals,N/A,DOHS Mirpur,At least 3 year(s)
Technology Specialist (Software & Cloud Solutions),Star Tech & Engineering Ltd.,N/A,Dhaka,At least 3 year(s)
Network Engineer-IT,Best Tycoon (BD) Enterprise Limited,N/A,Rupganj,1 to 2 year(s)
Engineering Manager,Bondstein Technologies Ltd.,N/A,Tejgaon,5 to 7 year(s)
Web Developer (Full Stack),ChefOnline,N/A,GULSHAN 1,7 to 10 year(s)
IT Supervisor,HOTEL 71,N/A,Dhaka,3 to 5 year(s)
Data Scientist,SSL Wireless,N/A,Eskaton,2 to 3 year(s)
DevOps Lead,STARDUST Telecom Ltd. (A concern of `Confidence Group`),N/A,Dhaka,At least 10 year(s)
Senior IT Executive (Trading & Tender based),MangoTru Ltd,N/A,Dhaka,5 to 7 year(s)
Assistant Manager- MIS (Business Intelligence),Blossom Group of Companies,N/A,Dhaka,5 to 8 year(s)
Sr. Backend Engineer (Java),Adventure Dhaka Limited,"You can work in a Japanese-based multinational company with 120 talented employees.You may have the opportunity to work with Japanese, Indian, and other foreigners.","Dhaka, Banani",At least 3 year(s)
"Manager, Graphic Design & UI/UX",ChefOnline,N/A,GULSHAN 1,7 to 10 year(s)
Senior Software Engineer,ChefOnline,N/A,GULSHAN 1,7 to 10 year(s)
Odoo Developer,bdCalling IT Ltd,N/A,Banasree,At least 3 year(s)
Supervisor-Quality & Process Improvement,1000FIX Services Ltd.,N/A,Dhaka,At least 2 year(s)
Head of IT,Delta Life Insurance Company Limited,N/A,Dhaka,At least 10 year(s)
Asst.Network Engineer - Radio Frequency,Amber IT Ltd.,N/A,Anywhere in Bangladesh,1 to 2 year(s)
Senior Programmer (Java Spring Boot & React),IBCS-PRIMAX Software (Bangladesh) Ltd.,N/A,Dhaka,At least 4 year(s)
Advanced Python Backend Software Developer,STIM,N/A,Oman,1 to 4 year(s)
Web Developer,Digital Crop,N/A,Bogura,1 to 3 year(s)
Junior Web Developer,Dokmi,N/A,Dhaka,At least 1 year(s)
SQA Analyst,BJIT Ltd.,N/A,Dhaka,At least 4 year(s)
Test Software Development Engineer,Ophir Bangladesh,"Ophir is a privately held company headquartered in Singapore with staff operating in Europe, US, India, Bangladesh, China and Singapore. We specialized in IOT solutions and supply chain management for leisure and entertainment industries.",Singapore,At least 3 year(s)
"Jr. Officer, IT Department",ECTA Dhaka Ltd.,N/A,Dhaka,Na
Junior Software Engineer (JavaScript),AHSAN Group LTD-,N/A,GULSHAN 2,At most 1 year(s)
"Team Lead, SQA",TallyKhata,N/A,Banani,At least 8 year(s)
Assistant Manager - Marketing & Sales,A Reputed IT Firm,N/A,Dhaka,At least 5 year(s)
Senior Software Engineer-Java,A Reputed IT Firm,N/A,Dhaka,At least 7 year(s)
Manager - IT,Arbab Pack Ltd.,N/A,Demra,7 to 10 year(s)
Mobile Application Developer (Flutter & Android),Alliance Engineering & Services,N/A,DOHS Mirpur,2 to 3 year(s)
Power BI / Tableau Manager,NASSA GROUP,N/A,Dhaka,7 to 10 year(s)
Frontend Developer (UI/UX),Spectrum IT Solutions Ltd.,N/A,Dhaka,At least 3 year(s)
Power BI / Tableau Executive,NASSA GROUP,N/A,Dhaka,3 to 5 year(s)
Software Engineer (PHP & Laravel),eBitans Limited,N/A,Nikunja,Na
Data Scientist,mPower Social Enterprises Ltd.,N/A,Banani,At least 2 year(s)
TB Diagnostic Network ICT Advisor,mPower Social Enterprises Ltd.,N/A,Banani,At least 7 year(s)
Oracle Apex Programmer,A Leading Group of Company,N/A,Dhaka,3 to 5 year(s)
Online Research Analyst,IT Grow Division Ltd.,Enjoy flexibility of working from home and office. Multi-cultural working environment.Opportunity for professional development and advancement in a rapidly growing company.,Anywhere in Bangladesh,At least 1 year(s)
Sr. Executive/Executive of ERP Implementation (Implementer),Pakiza Software Limted,N/A,Dhanmondi,At least 2 year(s)
IT Officer,China Leike Power Supply (BD) Ltd.,N/A,Uttara,At most 1 year(s)
Software Developer- Backend/Full Stack,Anwar Enterprise Systems Limited,N/A,Motijheel,1 to 5 year(s)
Asst. Executive/Executive - ICT,Ananta Companies,N/A,Gazipur,2 to 4 year(s)
MTO-IT,A Multination Company in AEPZ,N/A,Narayanganj,At least 1 year(s)
Zoho Developer,Pixable Limited,"Join a dynamic team with a collaborative culture, offering ample growth opportunities, continuous learning, and a supportive environment. We provide competitive benefits, flexible working options and career advancement.",Dhaka,At least 5 year(s)
"Developer (PHP, Laravel, Full Stack)",Matrimonial.com.bd,N/A,Dhanmondi,2 to 4 year(s)
SEO Manager/Strategist,ChefOnline,N/A,GULSHAN 1,7 to 10 year(s)
Executive/Sr.Executive (IT Support),Mbrella Limited,N/A,Anywhere in Bangladesh,4 to 8 year(s)
Social Media Manager,ChefOnline,N/A,GULSHAN 1,7 to 10 year(s)
Zonal Head; Rangpur/ Rajshahi /Chittagong,BRACNet Limited,N/A,"Rajshahi, Rangpur, Chittagong GPO",7 to 12 year(s)
Executive (IT Support & Digital Marketing),Isahoque Developers Ltd.,N/A,Dhaka,At least 3 year(s)
Support Engineer,FIFO Tech,N/A,Kawran Bazar,1 to 3 year(s)
Full Stack Developer,Faiza Express,N/A,Mirpur 2,1 to 2 year(s)
Services Support Manager,Inspire Broadband,N/A,Middle Paikpara Mirpur,3 to 5 year(s)
Ruby on Rails Middle Developer,Itransition Software Bangladesh Ltd,N/A,Anywhere in Bangladesh,At least 1 year(s)
Sr. Consultant - Information Security Management System,iota Consulting BD,N/A,Dhaka,5 to 8 year(s)
"Assistant Manager, DevOps",MoMagic Bangladesh ltd,N/A,Tejgaon Industrial Area,4 to 6 year(s)
Jr. Executive / Executive (Network),Tomato WEB (Pvt.) Ltd.,N/A,Dhaka,1 to 3 year(s)
Full Stack Software Engineer (React + .Net Core),Al Fatah Publications,N/A,Malibagh,5 to 10 year(s)
Lead Operator/ Junior Operator,NDE Infratech Ltd,"Project Name: Operation of Traffic Management Center (TMC) Under ""Improving the Reliability and Safety on National Highways Corridor of Bangladesh by Introduction of Intelligent Transportation System (ITS)Project",Dhaka,2 to 4 year(s)
SCADA Specialist/ IT Specialist,Innovate Engineering & Development,N/A,Anywhere in Bangladesh,At least 10 year(s)
Software Engineer,AlterSense Limited,N/A,Tejgaon,2 to 3 year(s)
Infrastructure Engineer,Orange Business Development Ltd. (Orangebd),N/A,DOHS Baridhara,3 to 7 year(s)
Data Science Specialist,STANDARD GROUP,N/A,Dhaka,3 to 5 year(s)
Front End Developer,Binate Solutions Ltd.,N/A,Dhaka,At least 4 year(s)
Smartcare Service Engineer (Data Analyst),Huawei Technologies Bangladesh Ltd.,N/A,Anywhere in Bangladesh,At least 4 year(s)
Smartcare Service Engineer,Huawei Technologies Bangladesh Ltd.,N/A,Anywhere in Bangladesh,At least 5 year(s)
RF Service Engineer,Huawei Technologies Bangladesh Ltd.,N/A,Anywhere in Bangladesh,Na
Power Engineer - Network Energy & DC Facility,Huawei Technologies Bangladesh Ltd.,N/A,Anywhere in Bangladesh,Na
Solution Manager (Wireless),Huawei Technologies Bangladesh Ltd.,N/A,Anywhere in Bangladesh,At least 5 year(s)
Core Network Engineer (CS/PS),Huawei Technologies Bangladesh Ltd.,N/A,Anywhere in Bangladesh,At least 5 year(s)
Datacom Engineer,Huawei Technologies Bangladesh Ltd.,N/A,Anywhere in Bangladesh,2 to 5 year(s)
Deputy Manager / Assistant Manager (Corporate Sales-Dhaka),Excel Technologies Ltd.,N/A,Dhaka,At least 4 year(s)
Technical Documentation Specialist,Nanosoft,N/A,Dhaka,2 to 4 year(s)
.NET CORE DEVELOPER,EchoLogyx Ltd.,We are looking for an individual who is confident in their ability to write code from scratch and possesses a keen eye for detecting and correcting code defects. The successful candidate will have a strong understanding of the .NET Core framework.,Uttara,At least 1 year(s)
SEO Executive,ChefOnline,N/A,GULSHAN 1,At least 3 year(s)
UX RESEARCHER,EchoLogyx Ltd.,"We are seeking a meticulous and analytical User Researcher to join our agency`s Conversion Optimization Team. The User Researcher will be responsible for generating monthly research reports derived from various sources, including Google Analytics, Hotjar recordings, click and scroll maps, review analysis, customer surveys, scientific peer-reviewed articles and other methodologies. These reports will be provided to the account manager to inform and develop high-impact A/B tests based on the research insights.","Chattogram, Uttara, Dhanmondi 27",At least 2 year(s)
Head of IT,Bangladesh Development Group/ Magura Group,N/A,Dhaka,12 to 15 year(s)
Associate - IT Support,Quantanite Bangladesh Limited,N/A,Mirpur 14,1 to 2 year(s)
IT Officer,Warptex Bangladesh,N/A,Uttara Sector 11,At least 2 year(s)
Software Engineer (C# /.NET),Regnum,N/A,Tejgaon Industrial Area,At least 1 year(s)
Asst. Procurement Specialist,Saffron Corporation Ltd.,N/A,Dhaka,3 to 5 year(s)
Full Stack Backend Software Engineer,Saffron Corporation Ltd.,N/A,Dhaka,4 to 6 year(s)
PHP Developer,Euro-Bangla IT,N/A,Dhaka,Na
Field Support Executive (Technical Department),Chittagong Online Limited,N/A,"Chattogram, Cox's Bazar",Na
PHP Developer,New Asia Group,N/A,Gazipur,At least 4 year(s)
Help Desk Engineer,ZTE Corporation,N/A,Dhaka,At least 2 year(s)
Manager (IT),Divine Group Limited,N/A,Gazipur,At least 10 year(s)
Manager-(IT),Euro Group,N/A,Dhaka,5 to 7 year(s)
Sub - Assistant Engineer,Premium Connectivity Ltd.,N/A,Anywhere in Bangladesh,At least 1 year(s)
Unity Developer,Signature 11 (IT),N/A,Banani,At least 2 year(s)
Executive / Sr. Executive - Sales & Marketing,Tech Link,N/A,Elephant Road,Na
সহকারী কম্পিউটার প্রোগ্রামার,"Bangabandhu Sheikh Mujibur Rahman Digital University,Bangladesh",N/A,Gazipur,Na
IT Support Engineer,Bureau Veritas Consumer Products Services (Bangladesh) Ltd.,N/A,Savar EPZ,Na
SOC FO Engineer,ZTE Corporation,N/A,Dhaka,At least 2 year(s)
Big Data Tool Maintenance Engineer,ZTE Corporation,N/A,Dhaka,At least 2 year(s)
CEM Analyst,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
Executive (Digital Marketing & Creatives),Neuco Tea Ltd,N/A,Dhaka,At least 2 year(s)
Officer (Computer Engineer),Bio-As International,N/A,Dhaka,3 to 4 year(s)
"Back-end Web Developer (PHP, Laravel)",Codeware Ltd.,N/A,Adabor,1 to 2 year(s)
Assistant IT Officer,Dynamic Communication Pvt Ltd.,N/A,Uttara Sector 3,Na
Sr. System Analyst,mPower Social Enterprises Ltd.,N/A,Banani,At least 4 year(s)
Lead of Solution Design,mPower Social Enterprises Ltd.,N/A,Banani,At least 5 year(s)
Business Development Executive (Marketing),Smart Software Limited,N/A,"Anywhere in Bangladesh, Dhaka",2 to 6 year(s)
Project Supervisor (Radio/Television Broadcasting/Telecom/Satcom),Paradise Engineering Ltd.,N/A,Anywhere in Bangladesh,5 to 10 year(s)
Sr. Software Engineer,One Information and Communications Technology Ltd,N/A,Dhaka,4 to 8 year(s)
Senior DevOps Engineer,Datapath,"At Data Path Ltd, We are seeking an experienced DevOps Engineer with expertise in design, development, and implementation of large-scale Applications in the cloud.",Dhaka,5 to 8 year(s)
IT Helpdesk Executive/Sr. Executive,Partex Star Group,N/A,Tejgaon Industrial Area,2 to 4 year(s)
Rigger (RNO Tower Technician),Starlink Engineering Ltd.,N/A,Anywhere in Bangladesh,Na
OSS Engineer,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
RF Planning Engineer,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
NPO Engineer,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
RAN Engineer,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
PS Core Engineer,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
HLR/HSS/NFV Engineer,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
IT Support Engineer,Leatherex Footwear Ind. Ltd.,N/A,Savar,2 to 5 year(s)
Executive (Software Programmer)- IT & ERP,Blue Planet Group,N/A,Uttara,2 to 3 year(s)
CS/IMS Core Engineer,ZTE Corporation,N/A,Dhaka,At least 3 year(s)
Lead DevOps Engineer/Cloud Architect,BJIT Ltd.,N/A,Dhaka,At least 5 year(s)
Full Stack Software Developer,Fashion Asia Ltd.,N/A,Tongi,At least 2 year(s)
Web Developer (WordPress),BA3 Digital Marketing,N/A,Kishoreganj Sadar,2 to 4 year(s)
3DS Max Artist (English & Bangla Speakers),Orendt Studios,N/A,Dhaka,At least 10 year(s)
Project Coordinator for 3D / CGI Projects,Orendt Studios,N/A,Dhaka,At least 2 year(s)
3D Artist - Character Posing,Orendt Studios,N/A,Baridhara,Na
Video Post-Production Artist,Orendt Studios,N/A,Baridhara,Na
Senior Software Developer,Weblink Communications Ltd.,N/A,Dhaka,At least 5 year(s)
Laravel Developer,weDevs,N/A,DOHS Mirpur,At least 3 year(s)
Full Stack Developers,Pridesys IT Limited,N/A,Kawran Bazar,3 to 7 year(s)
Executive (SEO Specialist),Novem Ecoresort,N/A,Sreemangal,1 to 2 year(s)
WordPress Content Writer,ByteEver,N/A,DOHS Mirpur,At least 2 year(s)
Technical Documentation Expert (E-Gov),Pridesys IT Limited,N/A,Kawran Bazar,2 to 3 year(s)
Full Stack Engineer (React JS & Node JS),Myoffer360 Degree,#Nodejs #Reactjs #fullstack #GitLab,Uttara,2 to 5 year(s)
"Executive - IT & Payroll (Garments Factory, Uttara-Uttarkhan)",The Largest Knit Garments Group of Company,N/A,Uttara,2 to 3 year(s)
Journey Map & User Experience Manager,Banglalink,N/A,Dhaka,4 to 6 year(s)
Assistant Network Engineer (POP Incharge),Amber IT Ltd.,N/A,Anywhere in Bangladesh,Na
"Full Stack Developer (Laravel + React, PHP Developer)",ETHER TECHNOLOGIES LIMITED,N/A,GULSHAN 1,At least 5 year(s)
Office Assistant,Spectrum IT Solutions Ltd.,"We are looking for young, energetic, and skilled individuals to join our Dhaka office as Office Assistants. If you are experienced and ready to start right away, we want to hear from you!",Banglamotor,1 to 3 year(s)
Laravel Developer,Divergent Technologies Limited,"Divergent Technology Limited, a leading company dedicated to innovative solutions, values our collaborative culture and commitment to excellence. We seek a motivated Laravel Developer with minimum 2 years of experience to join our dynamic team.",Anywhere in Bangladesh,2 to 4 year(s)
Sales & Support Executive (Digital Platform),Rynexus Infotech,N/A,Dhaka,1 to 3 year(s)
International Business Operations Specialist,Syntax Solutions Ltd,N/A,Anywhere in Bangladesh,6 to 8 year(s)
Flutter Mobile App Developer (Android/iOS),bdCalling IT Ltd,N/A,Banasree,2 to 3 year(s)
.NET Developer (Intern),PRAN-RFL Group,N/A,Dhaka,Na
Web Developer / Sr. Web Developer,Byte Care Limited,N/A,Kakrail,At least 3 year(s)
Web Designer,Observe Worldwide Education,N/A,Dhanmondi 27,Na
WordPress Theme Developer,bdCalling IT Ltd.,N/A,Banasree,Na
C#.NET/PHP/ColdFusion Development Engineer,Shuei Trading Co.,We are actively seeking a dynamic and talented C#.NET/PHP/ColdFusion Development Engineer in Bangladesh who possesses at least conversational Japanese language skills to join our global system development team at Shuei Trading Co.,Anywhere in Bangladesh,At least 2 year(s)
"Back End Developer- Golang, Node.js, .NET",Gononet Online Solutions Ltd.,"If you are a talented and experienced Backend developer with a passion for building high-performance, scalable web applications using Golang, Node.js .NET`s infrastructure, we encourage you to apply.",Kawran Bazar,At least 1 year(s)
"Executive, Web and E-Commerce",Revolution Technology BD,N/A,Dhaka,1 to 2 year(s)
